agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,payment_contribution_source,payment_fallback_reason
2,0.4251382485317983,0.15100000000000002,0.4952877350673106,0.46722794045310573,1.3800000000000001,4.874864994589231,17,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,opt_fallback,no_positive_eval_contribution
3,0.5748617514682016,0.33545557017274175,0.5047122649326894,0.5327720595468943,1.1400000000000001,5.125135005410769,17,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,opt_fallback,no_positive_eval_contribution
15,5.888061518003546e-05,0.2,0.011369986812269786,0.006845544333433886,1.06,1.0866976229003922,18,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
1,0.12593646768647127,0.2,0.29980878005445644,0.23025985510726235,1.22,2.118013434918323,18,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
2,0.24757861753918503,0.2,0.5415635103101875,0.4239695532017865,1.3800000000000001,3.033481257486967,18,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
3,0.46339271449052866,0.2,0.11142845406904504,0.2522141582376385,1.1400000000000001,2.12363521712679,18,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
4,0.16303331966863496,0.2,0.035829268754041396,0.08671088911987881,1.3,1.6381724675675273,18,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
15,0.0004697801056339575,0.10200000000000001,0.2341130734993511,0.14065575614186424,1.06,2.1458624374151922,19,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
1,0.999530219894366,0.14255036561204487,0.7658869265006489,0.8593442438581358,1.22,7.854137562584808,19,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
1,0.10487823017277922,0.2,0.08275584818784666,0.0916048009818197,1.22,1.6743598128698256,19,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
