seed,dimension,poison_ratio,target,initialization,evaluator,update_rate,round,target_error,evaluation_loss,consistency_l1,update_l1,informative,stage3_requests_cumulative,contribution_requests_cumulative
1,2,0.3,0.0,stage0,uniform,0.0,0,0.012872931032486434,0.010672445098559061,1.3533086714678337,0.0,True,189,75
1,2,0.3,0.0,stage0,uniform,0.3,0,0.012872931032486434,0.010672445098559061,1.3533086714678337,0.4059926014403501,True,189,75
1,2,0.3,0.0,stage0,uniform,0.3,1,0.005297299648304943,0.00432736799120903,0.9193792090138723,0.2758137627041617,True,327,150
1,2,0.3,0.0,stage0,uniform,0.3,2,0.008336789569922232,0.007569638391335805,0.6576398513361718,0.19729195540085148,True,531,225
1,2,0.3,0.0,stage0,uniform,0.3,3,0.023531362837463377,0.014015076061089834,0.4895943432637096,0.14687830297911292,True,669,300
1,2,0.3,0.0,stage0,uniform,0.3,4,0.023854525840294016,0.014182021220525106,0.3434970003273396,0.10304910009820188,True,834,375
1,2,0.3,0.0,stage0,uniform,0.3,5,0.02390413338282471,0.014210205525159836,0.24057986521923616,0.07217395956577087,True,1020,450
1,2,0.3,0.0,uniform,optimization,0.0,0,0.005341801071744534,0.005243753393491109,0.9603003745246994,0.0,True,282,75
1,2,0.3,0.0,uniform,optimization,0.3,0,0.005341801071744534,0.005243753393491109,0.9603003745246994,0.28809011235740983,True,282,75
1,2,0.3,0.0,uniform,optimization,0.3,1,0.010378109998260499,0.0056960711632335105,0.5754898548979042,0.17264695646937125,True,672,123
1,2,0.3,0.0,uniform,optimization,0.3,2,0.022781388178824358,0.009282309806282482,0.3365920587689278,0.10097761763067833,True,789,171
1,2,0.3,0.0,uniform,optimization,0.3,3,0.023905933386433986,0.007949174248468206,0.24074875361940246,0.07222462608582078,True,966,621
1,2,0.3,0.0,uniform,optimization,0.3,4,0.023781477736537937,0.007562825823053498,0.2143437807578973,0.06430313422736922,True,1083,669
1,2,0.3,0.0,uniform,optimization,0.3,5,0.023698789201381132,0.006909061216519622,0.09935923681393677,0.029807771044181045,True,1215,753
1,2,0.3,0.0,uniform,uniform,0.0,0,0.005341801071744534,0.005243753393491109,0.9603003745246994,0.0,True,282,75
1,2,0.3,0.0,uniform,uniform,0.3,0,0.005341801071744534,0.005243753393491109,0.9603003745246994,0.28809011235740983,True,282,75
1,2,0.3,0.0,uniform,uniform,0.3,1,0.010378109998260499,0.005448633184035619,0.6730947722425924,0.2019284316727777,True,672,150
1,2,0.3,0.0,uniform,uniform,0.3,2,0.023431480031009144,0.013970227291186651,0.5094567006842342,0.15283701020527027,True,789,225
1,2,0.3,0.0,uniform,uniform,0.3,3,0.023793194914658145,0.014149311929941177,0.35745713450107275,0.10723714035032175,True,942,300
1,2,0.3,0.0,uniform,uniform,0.3,4,0.02390598910377406,0.014211428662141165,0.2505107952364014,0.07515323857092042,True,1173,375
1,2,0.3,0.0,uniform,uniform,0.3,5,0.023905920665036717,0.014211403826872507,0.1753574403647431,0.052607232109422905,True,1383,450
