agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,coalition_round,payment_contribution_source,payment_fallback_reason
1,0.20936326927390417,0.2,0.4014123826086507,0.3245927372747521,1.22,2.4859116753715327,4,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.30968159678506796,0.2,0.10455621688288257,0.18660636884375673,1.3800000000000001,2.107764838490651,4,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.14790500406918805,0.2,0.06710377650743717,0.09942426753213751,1.1400000000000001,1.5277546433753364,4,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.3330062841616452,0.2,0.06694894701067183,0.17337188187106117,1.3,1.9761503392971385,4,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
15,2.8130033684264264e-05,0.10200000000000001,0.009260817400272108,0.0055677424536369705,1.06,1.0817141955691842,5,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.1536914849375397,0.10200000000000001,0.3130511663596996,0.24930729379083566,1.22,2.192298445784259,5,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.2450844056789864,0.10200000000000001,0.3124111928128495,0.28548047795930426,1.3800000000000001,2.4933738640412866,5,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.3698635338598678,0.592,0.21311577607879634,0.27581487919122494,1.1400000000000001,2.215678028845777,5,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.23133244548992188,0.10200000000000001,0.15216104734838237,0.1838296066049982,1.3,2.016935465759493,5,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
15,1.7531970869868338e-05,0.15100000000000002,0.005015607817037556,0.0030163774785704808,1.06,1.0717638721664249,6,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.06596544496746644,0.15100000000000002,0.06266882737311263,0.06398747441085416,1.22,1.469551150202331,6,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.2104490459798888,0.15100000000000002,0.029986886534327493,0.10217175031255203,1.3800000000000001,1.778469826218953,6,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.4360783805935065,0.396,0.6505499735576641,0.5647613363720011,1.1400000000000001,3.342569211850804,6,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.2874895964882684,0.15100000000000002,0.25177870471785824,0.2660630614260223,1.3,2.337645939561487,6,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
15,5.1997864188056995e-05,0.20380061119968904,0.276804550895467,0.16610352968295541,1.06,1.707803765763526,7,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.1921260360658335,0.20252639588712446,0.25518257043261733,0.2299599566859038,1.22,2.1168438310750246,7,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.177482230602197,0.198302688780124,0.16586689339338273,0.17051302827690845,1.3800000000000001,2.045000810279943,7,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.34317242462192676,0.19766546887176664,0.15012129876980793,0.22734174911065547,1.1400000000000001,2.0266328215315563,7,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.2871673108458547,0.19770483526129587,0.15202468650872503,0.2060817362435769,1.3,2.10371877134995,7,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
15,1.1650676905008066e-05,0.19751428545746516,0.16737726647731496,0.10043102015715097,1.06,1.4516809786128888,8,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.5648165438065024,0.19129632333607477,0.03799220592448591,0.2487219410772925,1.22,2.1900155702014406,8,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.11025544073227392,0.20399905029064258,0.00609429833792663,0.04775875529566555,1.3800000000000001,1.5662591456530957,8,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
